Video ID,File Path,Emotion,Status,Timestamp,Annotation Time (seconds),Video Load Time,Selection Count,Next Button Time,Time to Next (seconds),Annotation Mode
"video_018","data/Contest_Happy_0575.mp4","neutral","annotated","2025-09-27T06:50:12.285Z","2.23","2025-09-27T06:50:10.057Z","1","2025-09-27T06:50:12.893Z","2.84","Mode 2"
"video_019","data/History_Fear_0091.mp4","fear","annotated","2025-09-27T06:50:16.741Z","3.81","2025-09-27T06:50:12.927Z","2","2025-09-27T06:50:17.235Z","4.31","Mode 2"
"video_020","data/History_Fear_0180.mp4","angry","annotated","2025-09-27T06:50:24.939Z","7.67","2025-09-27T06:50:17.270Z","1","2025-09-27T06:50:26.144Z","8.87","Mode 2"
"video_021","data/War_Angry_0169.mp4","angry","annotated","2025-09-27T06:50:27.788Z","1.62","2025-09-27T06:50:26.171Z","1","2025-09-27T06:50:28.514Z","2.34","Mode 2"
"video_022","data/ScholarReport_Neutral_0314.mp4","neutral","annotated","2025-09-27T06:50:30.782Z","2.23","2025-09-27T06:50:28.554Z","1","2025-09-27T06:50:31.290Z","2.74","Mode 2"
"video_023","data/Social_Disgust_0015.mp4","happy","annotated","2025-09-27T06:50:33.991Z","2.67","2025-09-27T06:50:31.326Z","1","2025-09-27T06:50:34.635Z","3.31","Mode 2"
"video_024","data/Contest_Neutral_0112.mp4","neutral","annotated","2025-09-27T06:50:38.103Z","3.42","2025-09-27T06:50:34.682Z","1","2025-09-27T06:50:38.858Z","4.18","Mode 2"
"video_025","data/Terror_Fear_0116.mp4","disgust","annotated","2025-09-27T06:50:47.678Z","8.77","2025-09-27T06:50:38.911Z","1","2025-09-27T06:50:48.235Z","9.32","Mode 2"
"video_026","data/History_Fear_0023.mp4","sad","annotated","2025-09-27T06:50:56.491Z","8.23","2025-09-27T06:50:48.265Z","1","2025-09-27T06:50:57.960Z","9.70","Mode 2"
"video_027","data/Conflict_Neutral_0091.mp4","surprise","annotated","2025-09-27T06:51:59.621Z","61.62","2025-09-27T06:50:58.003Z","1","2025-09-27T06:52:02.282Z","64.28","Mode 2"
"video_028","data/Conflict_Surprise_0144.mp4","happy","annotated","2025-09-27T06:52:03.604Z","1.28","2025-09-27T06:52:02.328Z","1","2025-09-27T06:52:04.861Z","2.53","Mode 2"
"video_029","data/History_Angry_0390.mp4","angry","annotated","2025-09-27T06:52:07.067Z","2.15","2025-09-27T06:52:04.919Z","1","2025-09-27T06:52:07.621Z","2.70","Mode 2"
"video_030","data/Crime_Fear_0071.mp4","fear","annotated","2025-09-27T06:52:15.048Z","7.39","2025-09-27T06:52:07.658Z","2","2025-09-27T06:52:15.804Z","8.15","Mode 2"
"video_031","data/Terror_Sad_0013.mp4","sad","annotated","2025-09-27T06:52:20.027Z","4.17","2025-09-27T06:52:15.854Z","2","2025-09-27T06:52:20.769Z","4.92","Mode 2"
"video_032","data/Social_Surprise_0068.mp4","happy","annotated","2025-09-27T06:52:22.601Z","1.78","2025-09-27T06:52:20.820Z","1","2025-09-27T06:52:24.796Z","3.98","Mode 2"
"video_033","data/Crime_Surprise_0098.mp4","disgust","annotated","2025-09-27T06:52:28.428Z","3.58","2025-09-27T06:52:24.852Z","1","2025-09-27T06:52:29.328Z","4.48","Mode 2"
"video_034","data/Crime_Surprise_0023.mp4","neutral","annotated","2025-09-27T06:52:32.568Z","3.21","2025-09-27T06:52:29.355Z","1","2025-09-27T06:52:33.243Z","3.89","Mode 2"
"video_035","data/Liveshow_Happy_0108.mp4","happy","annotated","2025-09-27T06:52:35.433Z","2.15","2025-09-27T06:52:33.281Z","1","2025-09-27T06:52:36.100Z","2.82","Mode 2"
"video_036","data/History_Happy_0040.mp4","happy","annotated","2025-09-27T06:52:38.824Z","2.69","2025-09-27T06:52:36.139Z","1","2025-09-27T06:52:39.625Z","3.49","Mode 2"
"video_037","data/War_Sad_0585.mp4","neutral","annotated","2025-09-27T06:52:42.529Z","2.87","2025-09-27T06:52:39.661Z","1","2025-09-27T06:52:43.360Z","3.70","Mode 2"
"video_038","data/Talkshow_Fear_0034.mp4","happy","annotated","2025-09-27T06:52:45.492Z","2.09","2025-09-27T06:52:43.403Z","1","2025-09-27T06:52:46.060Z","2.66","Mode 2"
"video_039","data/Liveshow_Disgust_0045.mp4","happy","annotated","2025-09-27T06:52:48.804Z","2.70","2025-09-27T06:52:46.107Z","1","2025-09-27T06:52:49.719Z","3.61","Mode 2"
"video_040","data/DailyLife_Happy_0351.mp4","happy","annotated","2025-09-27T06:52:51.380Z","1.61","2025-09-27T06:52:49.766Z","1","2025-09-27T06:52:52.044Z","2.28","Mode 2"
"video_041","data/Terror_Sad_0410.mp4","sad","annotated","2025-09-27T06:52:57.896Z","5.81","2025-09-27T06:52:52.082Z","1","2025-09-27T06:52:58.728Z","6.65","Mode 2"
"video_042","data/Argue_Neutral_0066.mp4","neutral","annotated","2025-09-27T06:53:00.686Z","1.94","2025-09-27T06:52:58.749Z","1","2025-09-27T06:53:01.248Z","2.50","Mode 2"
"video_043","data/Liveshow_Fear_0017.mp4","happy","annotated","2025-09-27T06:53:02.951Z","1.65","2025-09-27T06:53:01.303Z","1","2025-09-27T06:53:03.565Z","2.26","Mode 2"
"video_044","data/War_Sad_0579.mp4","sad","annotated","2025-09-27T06:53:05.554Z","1.96","2025-09-27T06:53:03.594Z","1","2025-09-27T06:53:06.182Z","2.59","Mode 2"
"video_045","data/Speech_Surprise_0119.mp4","surprise","annotated","2025-09-27T06:53:21.949Z","15.70","2025-09-27T06:53:06.249Z","2","2025-09-27T06:53:22.586Z","16.34","Mode 2"
"video_046","data/OfficialEvent_Happy_0023.mp4","neutral","annotated","2025-09-27T06:53:25.151Z","2.53","2025-09-27T06:53:22.618Z","1","2025-09-27T06:53:26.335Z","3.72","Mode 2"
"video_047","data/Talkshow_Angry_0078.mp4","angry","annotated","2025-09-27T06:53:28.338Z","1.96","2025-09-27T06:53:26.378Z","1","2025-09-27T06:53:29.170Z","2.79","Mode 2"
"video_048","data/War_Angry_0127.mp4","sad","annotated","2025-09-27T06:53:30.958Z","1.76","2025-09-27T06:53:29.195Z","1","2025-09-27T06:53:32.193Z","3.00","Mode 2"
"video_049","data/Social_Happy_0144.mp4","happy","annotated","2025-09-27T06:53:34.315Z","2.08","2025-09-27T06:53:32.231Z","1","2025-09-27T06:53:35.029Z","2.80","Mode 2"
"video_050","data/History_Neutral_0047.mp4","happy","annotated","2025-09-27T06:53:36.837Z","1.76","2025-09-27T06:53:35.073Z","1","2025-09-27T06:53:37.488Z","2.42","Mode 2"
"video_051","data/Contest_Sad_0061.mp4","neutral","annotated","2025-09-27T06:53:39.222Z","1.70","2025-09-27T06:53:37.521Z","1","2025-09-27T06:53:40.114Z","2.59","Mode 2"
"video_052","data/Talkshow_Fear_0017.mp4","surprise","annotated","2025-09-27T06:53:42.057Z","1.91","2025-09-27T06:53:40.152Z","1","2025-09-27T06:53:42.933Z","2.78","Mode 2"
"video_053","data/Contest_Disgust_0007.mp4","neutral","annotated","2025-09-27T06:53:45.124Z","2.14","2025-09-27T06:53:42.987Z","1","2025-09-27T06:53:46.008Z","3.02","Mode 2"
"video_054","data/Business_Sad_0169.mp4","neutral","annotated","2025-09-27T06:53:47.990Z","1.94","2025-09-27T06:53:46.046Z","1","2025-09-27T06:53:48.709Z","2.66","Mode 2"
"video_055","data/Interview_Disgust_0028.mp4","happy","annotated","2025-09-27T06:53:53.487Z","4.72","2025-09-27T06:53:48.764Z","1","2025-09-27T06:53:54.596Z","5.83","Mode 2"
"video_056","data/Contest_Surprise_0203.mp4","surprise","annotated","2025-09-27T06:53:56.997Z","2.37","2025-09-27T06:53:54.632Z","1","2025-09-27T06:53:57.822Z","3.19","Mode 2"
"video_057","data/DailyLife_Happy_0019.mp4","neutral","annotated","2025-09-27T06:53:59.916Z","2.04","2025-09-27T06:53:57.878Z","1","2025-09-27T06:54:00.708Z","2.83","Mode 2"
"video_058","data/Contest_Fear_0053.mp4","happy","annotated","2025-09-27T06:54:02.186Z","1.43","2025-09-27T06:54:00.760Z","1","2025-09-27T06:54:03.026Z","2.27","Mode 2"
"video_059","data/Liveshow_Disgust_0103.mp4","neutral","annotated","2025-09-27T06:54:07.211Z","4.15","2025-09-27T06:54:03.061Z","1","2025-09-27T06:54:07.804Z","4.74","Mode 2"
"video_060","data/Crime_Surprise_0151.mp4","angry","annotated","2025-09-27T06:54:10.047Z","2.21","2025-09-27T06:54:07.841Z","1","2025-09-27T06:54:11.066Z","3.23","Mode 2"
"video_061","data/War_Sad_0155.mp4","sad","annotated","2025-09-27T06:54:12.724Z","1.61","2025-09-27T06:54:11.109Z","1","2025-09-27T06:54:13.475Z","2.37","Mode 2"
"video_062","data/School_Angry_0518.mp4","disgust","annotated","2025-09-27T06:54:15.957Z","2.44","2025-09-27T06:54:13.518Z","1","2025-09-27T06:54:16.812Z","3.29","Mode 2"
"video_063","data/Contest_Neutral_0523.mp4","neutral","annotated","2025-09-27T06:54:19.617Z","2.75","2025-09-27T06:54:16.867Z","1","2025-09-27T06:54:20.246Z","3.38","Mode 2"
"video_064","data/Argue_Fear_0070.mp4","surprise","annotated","2025-09-27T06:54:22.131Z","1.83","2025-09-27T06:54:20.299Z","1","2025-09-27T06:54:23.238Z","2.94","Mode 2"
"video_065","data/Contest_Happy_0316.mp4","happy","annotated","2025-09-27T06:54:26.232Z","2.96","2025-09-27T06:54:23.269Z","1","2025-09-27T06:54:27.192Z","3.92","Mode 2"
"video_066","data/Conflict_Sad_0065.mp4","sad","annotated","2025-09-27T06:54:28.924Z","1.69","2025-09-27T06:54:27.231Z","1","2025-09-27T06:54:29.583Z","2.35","Mode 2"
"video_067","data/Crime_Neutral_0250.mp4","neutral","annotated","2025-09-27T06:54:33.162Z","3.54","2025-09-27T06:54:29.619Z","1","2025-09-27T06:54:34.069Z","4.45","Mode 2"
"video_068","data/School_Angry_0036.mp4","angry","annotated","2025-09-27T06:54:36.042Z","1.93","2025-09-27T06:54:34.109Z","1","2025-09-27T06:54:36.747Z","2.64","Mode 2"
"video_069","data/History_Disgust_0057.mp4","angry","annotated","2025-09-27T06:54:47.301Z","10.52","2025-09-27T06:54:36.780Z","1","2025-09-27T06:54:48.043Z","11.26","Mode 2"
"video_070","data/Interview_Angry_0014.mp4","happy","annotated","2025-09-27T06:54:49.790Z","1.70","2025-09-27T06:54:48.092Z","1","2025-09-27T06:54:50.306Z","2.21","Mode 2"
"video_071","data/School_Fear_0123.mp4","fear","annotated","2025-09-27T06:54:55.257Z","4.91","2025-09-27T06:54:50.344Z","1","2025-09-27T06:54:56.336Z","5.99","Mode 2"
"video_072","data/Liveshow_Neutral_0196.mp4","happy","annotated","2025-09-27T06:54:58.665Z","2.27","2025-09-27T06:54:56.392Z","1","2025-09-27T06:54:59.405Z","3.01","Mode 2"
"video_073","data/Contest_Surprise_0088.mp4","neutral","annotated","2025-09-27T06:55:01.432Z","1.99","2025-09-27T06:54:59.440Z","1","2025-09-27T06:55:02.359Z","2.92","Mode 2"
"video_074","data/Terror_Angry_0273.mp4","angry","annotated","2025-09-27T06:55:05.279Z","2.86","2025-09-27T06:55:02.417Z","1","2025-09-27T06:55:06.222Z","3.81","Mode 2"
"video_075","data/DailyLife_Neutral_0004.mp4","angry","annotated","2025-09-27T06:55:14.983Z","8.74","2025-09-27T06:55:06.244Z","1","2025-09-27T06:55:17.262Z","11.02","Mode 2"
"video_076","data/Speech_Disgust_0018.mp4","neutral","annotated","2025-09-27T06:55:18.913Z","1.60","2025-09-27T06:55:17.314Z","1","2025-09-27T06:55:19.474Z","2.16","Mode 2"
"video_077","data/Talkshow_Neutral_0308.mp4","happy","annotated","2025-09-27T06:55:21.200Z","1.69","2025-09-27T06:55:19.515Z","1","2025-09-27T06:55:21.928Z","2.41","Mode 2"
"video_078","data/Contest_Surprise_0216.mp4","surprise","annotated","2025-09-27T06:55:24.674Z","2.72","2025-09-27T06:55:21.955Z","1","2025-09-27T06:55:25.294Z","3.34","Mode 2"
"video_079","data/Terror_Fear_0145.mp4","disgust","annotated","2025-09-27T06:55:27.404Z","2.08","2025-09-27T06:55:25.320Z","1","2025-09-27T06:55:28.070Z","2.75","Mode 2"
"video_080","data/Crisis_Surprise_0036.mp4","surprise","annotated","2025-09-27T06:55:32.076Z","3.97","2025-09-27T06:55:28.103Z","1","2025-09-27T06:55:32.878Z","4.78","Mode 2"
"video_081","data/Argue_Angry_0228.mp4","neutral","annotated","2025-09-27T06:55:36.193Z","3.27","2025-09-27T06:55:32.918Z","1","2025-09-27T06:55:36.981Z","4.06","Mode 2"
"video_082","data/ScholarReport_Neutral_0463.mp4","neutral","annotated","2025-09-27T06:55:38.893Z","1.87","2025-09-27T06:55:37.022Z","1","2025-09-27T06:55:39.404Z","2.38","Mode 2"
"video_083","data/DailyLife_Happy_0095.mp4","happy","annotated","2025-09-27T06:55:41.068Z","1.63","2025-09-27T06:55:39.443Z","1","2025-09-27T06:55:41.979Z","2.54","Mode 2"
"video_084","data/Argue_Angry_0255.mp4","fear","annotated","2025-09-27T06:55:44.392Z","2.38","2025-09-27T06:55:42.010Z","1","2025-09-27T06:55:45.223Z","3.21","Mode 2"
"video_085","data/Social_Disgust_0091.mp4","happy","annotated","2025-09-27T06:55:47.091Z","1.83","2025-09-27T06:55:45.259Z","1","2025-09-27T06:55:50.308Z","5.05","Mode 2"
"video_086","data/War_Neutral_0436.mp4","angry","annotated","2025-09-27T06:55:52.041Z","1.69","2025-09-27T06:55:50.349Z","1","2025-09-27T06:55:52.872Z","2.52","Mode 2"
"video_087","data/War_Neutral_0030.mp4","fear","annotated","2025-09-27T06:55:54.973Z","2.07","2025-09-27T06:55:52.907Z","1","2025-09-27T06:55:55.581Z","2.67","Mode 2"
"video_088","data/History_Neutral_0032.mp4","sad","annotated","2025-09-27T06:55:57.613Z","2.00","2025-09-27T06:55:55.612Z","1","2025-09-27T06:55:59.052Z","3.44","Mode 2"
"video_089","data/Crisis_Sad_0086.mp4","fear","annotated","2025-09-27T06:56:00.832Z","1.74","2025-09-27T06:55:59.089Z","1","2025-09-27T06:56:01.439Z","2.35","Mode 2"
"video_090","data/OfficialEvent_Angry_0300.mp4","neutral","annotated","2025-09-27T06:56:03.561Z","2.09","2025-09-27T06:56:01.469Z","1","2025-09-27T06:56:04.274Z","2.81","Mode 2"
"video_091","data/History_Neutral_0008.mp4","happy","annotated","2025-09-27T06:56:05.851Z","1.54","2025-09-27T06:56:04.315Z","1","2025-09-27T06:56:06.449Z","2.13","Mode 2"
"video_092","data/Crisis_Happy_0104.mp4","happy","annotated","2025-09-27T06:56:07.673Z","1.19","2025-09-27T06:56:06.485Z","1","2025-09-27T06:56:08.407Z","1.92","Mode 2"
"video_093","data/School_Angry_0279.mp4","angry","annotated","2025-09-27T06:56:10.636Z","2.19","2025-09-27T06:56:08.450Z","1","2025-09-27T06:56:11.578Z","3.13","Mode 2"
"video_094","data/DailyLife_Surprise_0022.mp4","happy","annotated","2025-09-27T06:56:13.245Z","1.62","2025-09-27T06:56:11.624Z","1","2025-09-27T06:56:14.150Z","2.53","Mode 2"
"video_095","data/Social_Happy_0002.mp4","happy","annotated","2025-09-27T06:56:15.966Z","1.77","2025-09-27T06:56:14.200Z","1","2025-09-27T06:56:17.158Z","2.96","Mode 2"
"video_096","data/Terror_Fear_0260.mp4","fear","annotated","2025-09-27T06:56:19.319Z","2.12","2025-09-27T06:56:17.197Z","1","2025-09-27T06:56:20.158Z","2.96","Mode 2"
"video_097","data/Terror_Disgust_0000.mp4","disgust","annotated","2025-09-27T06:56:23.579Z","3.38","2025-09-27T06:56:20.196Z","1","2025-09-27T06:56:24.320Z","4.12","Mode 2"
"video_098","data/Talkshow_Happy_0154.mp4","happy","annotated","2025-09-27T06:56:25.683Z","1.34","2025-09-27T06:56:24.345Z","1","2025-09-27T06:56:26.285Z","1.94","Mode 2"
"video_099","data/Interview_Neutral_0406.mp4","happy","annotated","2025-09-27T06:56:29.751Z","3.43","2025-09-27T06:56:26.324Z","1","2025-09-27T06:56:30.380Z","4.06","Mode 2"
"video_100","data/History_Surprise_0102.mp4","disgust","annotated","2025-09-27T06:56:32.797Z","2.38","2025-09-27T06:56:30.414Z","1","2025-09-27T06:56:33.411Z","3.00","Mode 2"
"video_101","data/Social_Angry_0025.mp4","happy","annotated","2025-09-27T06:56:35.414Z","1.96","2025-09-27T06:56:33.453Z","1","2025-09-27T06:56:36.164Z","2.71","Mode 2"
"video_102","data/ScholarReport_Happy_0155.mp4","neutral","annotated","2025-09-27T06:56:37.463Z","1.27","2025-09-27T06:56:36.189Z","1","2025-09-27T06:56:38.054Z","1.86","Mode 2"
"video_103","data/Contest_Disgust_0131.mp4","disgust","annotated","2025-09-27T06:56:40.297Z","2.20","2025-09-27T06:56:38.094Z","1","2025-09-27T06:56:41.002Z","2.91","Mode 2"
"video_104","data/Talkshow_Fear_0007.mp4","neutral","annotated","2025-09-27T06:56:42.810Z","1.77","2025-09-27T06:56:41.037Z","1","2025-09-27T06:56:43.672Z","2.63","Mode 2"
"video_105","data/Terror_Sad_0005.mp4","sad","annotated","2025-09-27T06:56:47.288Z","3.58","2025-09-27T06:56:43.709Z","1","2025-09-27T06:56:48.239Z","4.53","Mode 2"
"video_106","data/DailyLife_Surprise_0076.mp4","surprise","annotated","2025-09-27T06:56:56.189Z","7.91","2025-09-27T06:56:48.277Z","1","2025-09-27T06:56:57.118Z","8.84","Mode 2"
"video_107","data/DailyLife_Happy_0117.mp4","happy","annotated","2025-09-27T06:57:01.065Z","3.91","2025-09-27T06:56:57.153Z","1","2025-09-27T06:57:01.799Z","4.65","Mode 2"
"video_108","data/Talkshow_Sad_0131.mp4","sad","annotated","2025-09-27T06:57:06.571Z","4.73","2025-09-27T06:57:01.843Z","1","2025-09-27T06:57:07.575Z","5.73","Mode 2"
"video_109","data/Action_Neutral_0197.mp4","disgust","annotated","2025-09-27T06:57:13.330Z","5.72","2025-09-27T06:57:07.606Z","2","2025-09-27T06:57:13.949Z","6.34","Mode 2"
"video_110","data/Crisis_Sad_0207.mp4","sad","annotated","2025-09-27T06:57:15.675Z","1.69","2025-09-27T06:57:13.986Z","1","2025-09-27T06:57:16.502Z","2.52","Mode 2"
"video_111","data/School_Surprise_0043.mp4","disgust","annotated","2025-09-27T06:57:21.180Z","4.65","2025-09-27T06:57:16.530Z","1","2025-09-27T06:57:21.930Z","5.40","Mode 2"
"video_112","data/Argue_Happy_0142.mp4","neutral","annotated","2025-09-27T06:57:24.615Z","2.65","2025-09-27T06:57:21.960Z","1","2025-09-27T06:57:25.311Z","3.35","Mode 2"
"video_113","data/ElegantArt_Angry_0007.mp4","surprise","annotated","2025-09-27T06:57:28.051Z","2.70","2025-09-27T06:57:25.347Z","1","2025-09-27T06:57:28.859Z","3.51","Mode 2"
"video_114","data/Crisis_Angry_0189.mp4","angry","annotated","2025-09-27T06:57:32.317Z","3.40","2025-09-27T06:57:28.920Z","1","2025-09-27T06:57:32.910Z","3.99","Mode 2"
"video_115","data/Action_Surprise_0016.mp4","disgust","annotated","2025-09-27T06:57:35.723Z","2.78","2025-09-27T06:57:32.946Z","1","2025-09-27T06:57:36.383Z","3.44","Mode 2"
"video_116","data/War_Sad_0033.mp4","sad","annotated","2025-09-27T06:57:40.260Z","3.83","2025-09-27T06:57:36.434Z","2","2025-09-27T06:57:40.778Z","4.34","Mode 2"
"video_117","data/Business_Sad_0069.mp4","sad","annotated","2025-09-27T06:57:43.944Z","3.13","2025-09-27T06:57:40.810Z","1","2025-09-27T06:57:44.932Z","4.12","Mode 2"
"video_118","data/School_Angry_0026.mp4","angry","annotated","2025-09-27T06:57:47.745Z","2.76","2025-09-27T06:57:44.985Z","1","2025-09-27T06:57:48.675Z","3.69","Mode 2"
"video_119","data/School_Surprise_0232.mp4","surprise","annotated","2025-09-27T06:57:51.218Z","2.51","2025-09-27T06:57:48.711Z","1","2025-09-27T06:57:52.103Z","3.39","Mode 2"
"video_120","data/Business_Disgust_0047.mp4","neutral","annotated","2025-09-27T06:57:55.260Z","3.12","2025-09-27T06:57:52.136Z","1","2025-09-27T06:57:56.017Z","3.88","Mode 2"
"video_121","data/Contest_Disgust_0100.mp4","disgust","annotated","2025-09-27T06:57:57.743Z","1.69","2025-09-27T06:57:56.057Z","1","2025-09-27T06:57:58.545Z","2.49","Mode 2"
"video_122","data/Conflict_Disgust_0026.mp4","neutral","annotated","2025-09-27T06:58:01.471Z","2.89","2025-09-27T06:57:58.583Z","1","2025-09-27T06:58:02.228Z","3.65","Mode 2"
"video_123","data/School_Angry_0519.mp4","angry","annotated","2025-09-27T06:58:09.233Z","6.95","2025-09-27T06:58:02.287Z","2","2025-09-27T06:58:10.111Z","7.82","Mode 2"
"video_124","data/DailyLife_Sad_0357.mp4","surprise","annotated","2025-09-27T06:58:14.994Z","4.86","2025-09-27T06:58:10.139Z","1","2025-09-27T06:58:16.156Z","6.02","Mode 2"
"video_125","data/School_Angry_0481.mp4","angry","annotated","2025-09-27T06:58:18.007Z","1.81","2025-09-27T06:58:16.198Z","1","2025-09-27T06:58:18.765Z","2.57","Mode 2"
"video_126","data/War_Neutral_0160.mp4","disgust","annotated","2025-09-27T06:58:21.782Z","2.99","2025-09-27T06:58:18.792Z","1","2025-09-27T06:58:22.681Z","3.89","Mode 2"
"video_127","data/Medicine_Happy_0030.mp4","happy","annotated","2025-09-27T06:58:25.463Z","2.73","2025-09-27T06:58:22.733Z","1","2025-09-27T06:58:26.341Z","3.61","Mode 2"
"video_128","data/History_Disgust_0058.mp4","sad","annotated","2025-09-27T06:58:28.636Z","2.24","2025-09-27T06:58:26.400Z","1","2025-09-27T06:58:29.558Z","3.16","Mode 2"
"video_129","data/ElegantArt_Sad_0288.mp4","neutral","annotated","2025-09-27T06:58:34.102Z","4.51","2025-09-27T06:58:29.591Z","2","2025-09-27T06:58:34.680Z","5.09","Mode 2"
"video_130","data/Medicine_Fear_0041.mp4","sad","annotated","2025-09-27T06:58:37.569Z","2.85","2025-09-27T06:58:34.718Z","1","2025-09-27T06:58:38.446Z","3.73","Mode 2"
"video_131","data/School_Surprise_0225.mp4","fear","annotated","2025-09-27T06:58:47.621Z","9.15","2025-09-27T06:58:38.473Z","1","2025-09-27T06:58:48.459Z","9.99","Mode 2"
"video_132","data/ScholarReport_Disgust_0042.mp4","neutral","annotated","2025-09-27T06:58:49.899Z","1.40","2025-09-27T06:58:48.497Z","1","2025-09-27T06:58:50.723Z","2.23","Mode 2"
"video_133","data/War_Sad_0252.mp4","sad","annotated","2025-09-27T06:58:53.365Z","2.59","2025-09-27T06:58:50.774Z","1","2025-09-27T06:58:53.963Z","3.19","Mode 2"
"video_134","data/Conflict_Disgust_0125.mp4","fear","annotated","2025-09-27T06:58:59.402Z","5.41","2025-09-27T06:58:53.997Z","2","2025-09-27T06:59:00.212Z","6.21","Mode 2"
"video_135","data/War_Angry_0450.mp4","happy","annotated","2025-09-27T06:59:05.191Z","4.93","2025-09-27T06:59:00.259Z","1","2025-09-27T06:59:05.873Z","5.61","Mode 2"
"video_136","data/Crime_Sad_0203.mp4","sad","annotated","2025-09-27T06:59:07.429Z","1.53","2025-09-27T06:59:05.902Z","1","2025-09-27T06:59:08.161Z","2.26","Mode 2"
"video_137","data/Argue_Happy_0248.mp4","happy","annotated","2025-09-27T06:59:10.539Z","2.33","2025-09-27T06:59:08.205Z","1","2025-09-27T06:59:11.320Z","3.12","Mode 2"
"video_138","data/Terror_Angry_0077.mp4","fear","annotated","2025-09-27T06:59:15.790Z","4.42","2025-09-27T06:59:11.367Z","1","2025-09-27T06:59:16.613Z","5.25","Mode 2"
"video_139","data/War_Surprise_0036.mp4","sad","annotated","2025-09-27T06:59:18.797Z","2.14","2025-09-27T06:59:16.660Z","1","2025-09-27T06:59:20.483Z","3.82","Mode 2"
"video_140","data/Contest_Disgust_0012.mp4","neutral","annotated","2025-09-27T06:59:22.863Z","2.33","2025-09-27T06:59:20.533Z","1","2025-09-27T06:59:23.874Z","3.34","Mode 2"
"video_141","data/History_Sad_0063.mp4","sad","annotated","2025-09-27T06:59:25.735Z","1.82","2025-09-27T06:59:23.914Z","1","2025-09-27T06:59:26.438Z","2.52","Mode 2"
